2016-07-11 21:48:26,929 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-11 21:48:27,100 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2016-07-11 21:48:27,118 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-11 21:48:27,120 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\sistproject\company\src\test\resources
2016-07-18 11:59:32,638 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-18 11:59:32,655 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2016-07-18 11:59:32,675 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-18 11:59:32,681 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\sistproject\company\src\test\resources
2016-07-23 11:16:04,431 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-23 11:16:04,447 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2016-07-23 11:16:04,461 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-23 11:16:04,462 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\sistproject\company\src\test\resources
2016-07-24 19:52:28,296 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-24 19:52:28,310 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2016-07-24 19:52:28,321 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-24 19:52:28,322 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\sistproject\company\src\test\resources
2016-07-25 11:52:54,533 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-25 11:52:54,553 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2016-07-25 11:52:54,567 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-25 11:52:54,568 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\sistproject\company\src\test\resources
2016-07-25 12:05:09,354 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.company:first:1.0.0-BUILD-SNAPSHOT @ C:\sistproject\company\pom.xml.
